,學習階段,學校名稱,縣市,地區
129,高中,國立臺南第二高級中學,台南,南部
130,高中,國立臺南大學附屬高級中學,台南,南部
131,高職,高雄市私立三信高級家事商業職業學校,高雄,南部
132,高中,高雄市私立立志高級中學,高雄,南部
133,高職,高雄市私立高苑高級工商職業學校,高雄,南部
134,高中,國立苑裡高級中學,苗栗,中部
135,高中,南投縣立旭光高級中學,南投,中部
136,高職,嘉義縣私立協志高級工商職業學校,嘉義,中部
137,高中,國立屏北高級中學,屏東,南部
138,高中,國立玉里高級中學,花蓮,東部
139,高職,國立花蓮高級工業職業學校,花蓮,東部
140,高中,新竹市私立磐石高級中學,新竹,北部
141,高中,新竹市私立曙光女子高級中學,新竹,北部
142,高中,嘉義市私立宏仁女子高級中學,嘉義,中部
143,高中,臺北市立中崙高級中學,台北,北部
144,高中,臺北市立永春高級中學,台北,北部
145,高中,臺北市立建國中學,台北,北部
146,高中,臺北市立第一女子高級中學,台北,北部
147,高中,臺北市立內湖高級中學,台北,北部
148,高中,臺北市立陽明高級中學,台北,北部
149,高中,臺北市立復興高級中學,台北,北部
150,高中,臺北市立中正高級中學,台北,北部
151,高中,新北市私立金陵女子高級中學,新北,北部
152,高中,新北市財團法人南山高級中學,新北,北部
153,高職,新北市私立莊敬高級工業家事職業學校,新北,北部
154,高中,新北市立樹林高級中學,新北,北部
155,高中,新北市立北大高級中學,新北,北部
156,高中,國立中央大學附屬中壢高級中學,新北,北部
157,高中,桃園市立平鎮高級中學,桃園,北部
158,高中,桃園市立永豐高級中學,桃園,北部
159,高中,新竹市私立曙光女子高級中學,新竹,北部
160,高中,新竹市私立磐石高級中學,新竹,北部
161,高中,國立苑裡高級中學,苗栗,中部
162,高中,臺中市私立明道高級中學,台中,中部
163,高中,臺中市私立華盛頓高級中學,台中,中部
164,高中,臺中市私立葳格高級中學,台中,中部
165,高中,臺中市私立新民高級中學,台中,中部
166,高中,臺中市私立嶺東高級中學,台中,中部
167,高職,臺中市財團法人光華高級工業職業學校,台中,中部
168,高中,臺中市立惠文高級中學,台中,中部
169,高中,南投縣立旭光高級中學,南投,中部
170,高中,國立新豐高級中學,台南,南部
171,高中,臺南市財團法人聖功女子高級中學,台南,南部
172,高職,高雄市私立三信家事商業職業學校,高雄,南部
173,高中,國立屏北高級中學,屏東,南部
174,高中,國立羅東高級中學,宜蘭,北部
175,高職,國立花蓮高級工業職業學校,花蓮,東部
176,高職,國立花蓮高級農業職業學校,花蓮,東部
